epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1686,1.48869,2.42941,1.52357,0.43667,0.28947,0.27637,0.14174,1.84847,2.79985,1.89413,0.000656085,0.000656085,0.000656085
2,66.7799,1.59392,1.6776,1.5819,0.102,0.15789,0.06845,0.02984,2.46282,9.22161,3.0639,0.00131402,0.00131402,0.00131402
3,95.2403,1.63247,1.72621,1.60824,0.05434,0.07579,0.02022,0.00776,3.22686,13.7766,4.26126,0.00196316,0.00196316,0.00196316
4,124.292,1.68354,1.71257,1.64607,0.2235,0.25814,0.10508,0.03533,2.70274,4.57251,2.81006,0.0019604,0.0019604,0.0019604
5,153.811,1.59667,1.61309,1.5709,0.43252,0.42947,0.38202,0.17563,1.92664,2.34534,1.94184,0.0019472,0.0019472,0.0019472
6,181.322,1.55559,1.57064,1.55861,0.48957,0.47684,0.46383,0.22387,1.8478,2.4558,1.99448,0.001934,0.001934,0.001934
7,211.343,1.54491,1.53183,1.52765,0.71676,0.63895,0.7125,0.40221,1.45063,1.52402,1.50939,0.0019208,0.0019208,0.0019208
8,240.656,1.51005,1.43631,1.50794,0.77688,0.68211,0.76518,0.41181,1.37764,1.43581,1.47615,0.0019076,0.0019076,0.0019076
9,268.59,1.43004,1.39807,1.46117,0.50235,0.52316,0.46791,0.24007,1.71671,1.74965,1.76881,0.0018944,0.0018944,0.0018944
10,297.935,1.40157,1.34399,1.43508,0.73543,0.61474,0.71869,0.44417,1.35673,1.34048,1.50547,0.0018812,0.0018812,0.0018812
11,326.379,1.40634,1.36344,1.43455,0.59706,0.71158,0.61739,0.37953,1.30758,1.54355,1.45172,0.001868,0.001868,0.001868
12,355.302,1.41133,1.35077,1.45715,0.73503,0.7154,0.77815,0.45733,1.38239,1.22018,1.51267,0.0018548,0.0018548,0.0018548
13,384.876,1.38592,1.28337,1.42858,0.63936,0.72316,0.62466,0.3856,1.28782,1.38679,1.39064,0.0018416,0.0018416,0.0018416
14,412.152,1.36637,1.27183,1.40629,0.79942,0.71789,0.80415,0.5053,1.32694,1.21411,1.45706,0.0018284,0.0018284,0.0018284
15,441.84,1.31659,1.21254,1.39635,0.81402,0.72421,0.83262,0.54696,1.19533,1.08619,1.35114,0.0018152,0.0018152,0.0018152
16,470.876,1.30965,1.17655,1.35395,0.79559,0.71288,0.80713,0.49999,1.31113,1.17104,1.45126,0.001802,0.001802,0.001802
17,499.73,1.30203,1.21678,1.39566,0.67563,0.72526,0.693,0.42118,1.32911,1.37389,1.48458,0.0017888,0.0017888,0.0017888
18,529.137,1.30162,1.20394,1.37574,0.72826,0.69474,0.77475,0.48973,1.22758,1.47115,1.37698,0.0017756,0.0017756,0.0017756
19,557.046,1.2822,1.15924,1.35678,0.68113,0.75579,0.79618,0.5141,1.21538,1.18652,1.35732,0.0017624,0.0017624,0.0017624
20,586.562,1.24702,1.09268,1.33698,0.82876,0.69285,0.80629,0.51022,1.25721,1.26594,1.3746,0.0017492,0.0017492,0.0017492
21,616.33,1.27449,1.14392,1.3511,0.74107,0.74413,0.78908,0.51598,1.20267,1.34253,1.3643,0.001736,0.001736,0.001736
22,644.292,1.23069,1.11958,1.33354,0.70438,0.66737,0.73428,0.47418,1.23704,1.41272,1.39024,0.0017228,0.0017228,0.0017228
23,673.973,1.24557,1.10215,1.34029,0.68888,0.75263,0.78885,0.52225,1.12984,1.12176,1.28472,0.0017096,0.0017096,0.0017096
24,702.237,1.23181,1.10918,1.32608,0.69438,0.70793,0.76912,0.48856,1.25973,1.2105,1.4148,0.0016964,0.0016964,0.0016964
25,730.638,1.24637,1.06266,1.34967,0.7587,0.71789,0.78395,0.50724,1.17907,1.16793,1.3301,0.0016832,0.0016832,0.0016832
26,760.386,1.21479,1.05085,1.30724,0.74499,0.77053,0.80129,0.53403,1.15145,1.10104,1.30287,0.00167,0.00167,0.00167
27,787.252,1.19508,0.99884,1.30187,0.8275,0.73895,0.82963,0.5478,1.17869,1.07095,1.33053,0.0016568,0.0016568,0.0016568
28,816.902,1.19558,1.05037,1.31261,0.72085,0.74751,0.81245,0.53044,1.17926,1.15584,1.31131,0.0016436,0.0016436,0.0016436
29,845.5,1.17733,0.9779,1.27904,0.80723,0.76,0.84374,0.54237,1.19837,1.01917,1.35486,0.0016304,0.0016304,0.0016304
30,873.271,1.18017,1.00376,1.29395,0.83099,0.74009,0.82255,0.54115,1.20498,1.05587,1.34397,0.0016172,0.0016172,0.0016172
31,902.415,1.19243,1.0111,1.30241,0.81503,0.73684,0.84064,0.56262,1.16067,1.0583,1.30768,0.001604,0.001604,0.001604
32,930.003,1.15636,0.97294,1.28403,0.73764,0.70733,0.78742,0.50301,1.28041,1.32066,1.40306,0.0015908,0.0015908,0.0015908
33,958.875,1.15944,0.98771,1.27668,0.76854,0.75368,0.81027,0.54117,1.1265,1.01656,1.29513,0.0015776,0.0015776,0.0015776
34,988.367,1.12222,0.93057,1.25708,0.73157,0.74589,0.80721,0.55817,1.08659,1.07711,1.2848,0.0015644,0.0015644,0.0015644
