epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1093,1.50733,2.34772,1.65661,0.54535,0.49369,0.49511,0.25208,1.60919,3.79216,1.99767,0.000656085,0.000656085,0.000656085
2,90.5121,1.59179,1.78516,1.69967,0.01871,0.31368,0.01466,0.00539,2.32751,59.3895,3.62897,0.00131402,0.00131402,0.00131402
3,131.837,1.66886,1.77986,1.79552,0.00025,0.05895,0.00013,4e-05,3.91436,inf,79.5766,0.00196316,0.00196316,0.00196316
4,168.845,1.68303,1.84741,1.81076,0.02868,0.02,0.00435,0.00145,3.61401,5.50299,3.8,0.0019604,0.0019604,0.0019604
5,205.665,1.58745,1.66255,1.73527,0.48106,0.54254,0.4095,0.1786,1.7905,2.20186,2.21521,0.0019472,0.0019472,0.0019472
6,242.733,1.56047,1.64053,1.71314,0.4234,0.50947,0.38993,0.16797,1.66277,4.0547,2.04758,0.001934,0.001934,0.001934
7,280.142,1.49354,1.57541,1.64852,0.57153,0.60842,0.56995,0.2991,1.49642,2.19756,1.87788,0.0019208,0.0019208,0.0019208
8,317.878,1.49114,1.52209,1.6681,0.47997,0.54,0.42412,0.24389,1.36677,2.37885,1.72523,0.0019076,0.0019076,0.0019076
9,355.958,1.45516,1.42712,1.63364,0.55875,0.58783,0.53011,0.30892,1.44864,2.13442,1.81871,0.0018944,0.0018944,0.0018944
10,394.36,1.41894,1.44645,1.60076,0.59017,0.61895,0.63616,0.38205,1.29879,1.45041,1.62666,0.0018812,0.0018812,0.0018812
11,431.775,1.4151,1.43426,1.59581,0.65574,0.62947,0.57907,0.34998,1.24122,1.62234,1.56793,0.001868,0.001868,0.001868
12,468.73,1.39277,1.39041,1.59501,0.64267,0.65504,0.71892,0.43761,1.25729,1.4683,1.60329,0.0018548,0.0018548,0.0018548
13,506.387,1.39502,1.37213,1.61225,0.69234,0.63684,0.66276,0.39769,1.33117,1.51764,1.7109,0.0018416,0.0018416,0.0018416
14,543.892,1.34807,1.35385,1.56117,0.67047,0.69474,0.71397,0.43103,1.24146,1.48835,1.57012,0.0018284,0.0018284,0.0018284
15,581.712,1.34601,1.27033,1.56466,0.72015,0.67684,0.74877,0.4768,1.20285,1.23726,1.5742,0.0018152,0.0018152,0.0018152
16,619.986,1.32921,1.24594,1.52707,0.61705,0.65639,0.67331,0.40487,1.29329,1.5648,1.61486,0.001802,0.001802,0.001802
17,658.315,1.31957,1.29578,1.54223,0.73576,0.63789,0.75681,0.46895,1.27589,1.43787,1.63936,0.0017888,0.0017888,0.0017888
18,695.861,1.2981,1.24058,1.53059,0.57497,0.65075,0.65973,0.41303,1.19029,1.78809,1.54532,0.0017756,0.0017756,0.0017756
19,733.574,1.29435,1.25204,1.51351,0.79424,0.63158,0.74413,0.49013,1.19546,1.35008,1.55493,0.0017624,0.0017624,0.0017624
20,770.9,1.27544,1.16553,1.51145,0.68937,0.67895,0.75112,0.49509,1.14214,1.33403,1.50356,0.0017492,0.0017492,0.0017492
21,809.299,1.25777,1.17834,1.48589,0.76452,0.67474,0.76289,0.46971,1.24775,1.31332,1.59393,0.001736,0.001736,0.001736
