epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.037,1.46313,2.53842,1.44143,0.48471,0.40105,0.34304,0.17984,1.41788,2.96013,1.43078,0.000656085,0.000656085,0.000656085
2,63.4575,1.54706,2.09857,1.51596,0.5348,0.44421,0.43936,0.22476,1.55646,3.4848,1.6984,0.00131402,0.00131402,0.00131402
3,90.7826,1.56409,1.93109,1.5198,0.40233,0.52737,0.38653,0.1837,1.56314,3.70187,1.68289,0.00196316,0.00196316,0.00196316
4,116.511,1.56437,1.83755,1.53917,0.52881,0.59263,0.54365,0.27613,1.58715,1.91641,1.61877,0.0019604,0.0019604,0.0019604
5,142.904,1.55577,1.67353,1.51637,0.47672,0.49053,0.45313,0.22513,1.66617,2.19579,1.70081,0.0019472,0.0019472,0.0019472
6,169.914,1.52225,1.63113,1.5199,0.61298,0.50017,0.53662,0.2725,1.60568,1.89645,1.68774,0.001934,0.001934,0.001934
7,196.482,1.48304,1.57002,1.46566,0.57156,0.62421,0.59891,0.33387,1.47645,1.70672,1.52294,0.0019208,0.0019208,0.0019208
8,223.443,1.45955,1.46389,1.46794,0.75531,0.64985,0.72363,0.44624,1.26856,1.69919,1.3588,0.0019076,0.0019076,0.0019076
9,250.252,1.42708,1.39608,1.42615,0.69219,0.68105,0.67706,0.41167,1.30901,1.35196,1.3671,0.0018944,0.0018944,0.0018944
10,277.137,1.38825,1.36195,1.4093,0.6186,0.62211,0.63914,0.35996,1.4038,1.55579,1.44297,0.0018812,0.0018812,0.0018812
11,303.506,1.40353,1.35348,1.40928,0.68263,0.67922,0.73276,0.45314,1.32245,1.24992,1.37971,0.001868,0.001868,0.001868
12,330.717,1.37358,1.3208,1.41485,0.6986,0.72221,0.77181,0.47574,1.2816,1.16454,1.38473,0.0018548,0.0018548,0.0018548
13,356.268,1.3903,1.30064,1.40231,0.68018,0.67158,0.7311,0.43465,1.356,1.76543,1.41481,0.0018416,0.0018416,0.0018416
14,383.389,1.34573,1.27113,1.37585,0.78978,0.69263,0.78871,0.50036,1.24861,1.13601,1.32383,0.0018284,0.0018284,0.0018284
15,409.314,1.29271,1.21161,1.38367,0.81501,0.71419,0.79507,0.50344,1.28714,1.16798,1.39095,0.0018152,0.0018152,0.0018152
16,436.789,1.31076,1.20058,1.34318,0.77188,0.70526,0.79851,0.47323,1.34088,1.12666,1.36617,0.001802,0.001802,0.001802
17,462.21,1.30961,1.25907,1.38562,0.69509,0.77507,0.78033,0.50662,1.21316,1.15121,1.32747,0.0017888,0.0017888,0.0017888
18,490.072,1.29418,1.18254,1.34796,0.7152,0.62526,0.73602,0.48137,1.18251,1.44621,1.32792,0.0017756,0.0017756,0.0017756
19,514.766,1.2883,1.19372,1.34785,0.70469,0.55684,0.6403,0.39154,1.40703,1.45152,1.54498,0.0017624,0.0017624,0.0017624
20,542.73,1.26705,1.13647,1.33531,0.68953,0.74737,0.73273,0.46043,1.28381,1.22724,1.37866,0.0017492,0.0017492,0.0017492
21,567.629,1.28041,1.16436,1.33555,0.85577,0.76197,0.86212,0.57285,1.11858,1.13347,1.26191,0.001736,0.001736,0.001736
22,594.864,1.24911,1.12438,1.32964,0.83295,0.67789,0.80732,0.51877,1.20442,1.11714,1.31004,0.0017228,0.0017228,0.0017228
23,619.741,1.26774,1.14141,1.33869,0.72747,0.72105,0.75087,0.46638,1.29084,1.20921,1.34852,0.0017096,0.0017096,0.0017096
24,648.07,1.2836,1.14725,1.33425,0.70976,0.70316,0.72013,0.41493,1.3705,1.30947,1.53159,0.0016964,0.0016964,0.0016964
25,673.174,1.23891,1.0731,1.31465,0.79781,0.74632,0.82493,0.51952,1.23549,1.226,1.34907,0.0016832,0.0016832,0.0016832
26,701.012,1.23207,1.07577,1.3027,0.76356,0.73427,0.80568,0.52942,1.15877,1.17225,1.29028,0.00167,0.00167,0.00167
27,726.559,1.18771,1.03135,1.28976,0.64861,0.68842,0.70875,0.45898,1.20416,1.41494,1.33771,0.0016568,0.0016568,0.0016568
28,752.781,1.16926,1.04952,1.28539,0.82069,0.77789,0.83429,0.53472,1.16633,1.04289,1.33718,0.0016436,0.0016436,0.0016436
29,779.225,1.20876,1.03366,1.27122,0.86182,0.75499,0.84649,0.53595,1.20355,1.01372,1.32281,0.0016304,0.0016304,0.0016304
30,805.468,1.20103,1.04485,1.28615,0.76787,0.7556,0.81294,0.54676,1.10505,1.00056,1.25941,0.0016172,0.0016172,0.0016172
31,832.241,1.19939,1.0472,1.30398,0.82733,0.76156,0.83573,0.55123,1.16791,1.0737,1.27399,0.001604,0.001604,0.001604
32,858.391,1.19967,1.0265,1.28944,0.76443,0.77368,0.78072,0.50834,1.20509,1.10251,1.30413,0.0015908,0.0015908,0.0015908
33,885.382,1.17834,1.01312,1.26721,0.86949,0.74335,0.85547,0.58164,1.10688,0.952,1.2586,0.0015776,0.0015776,0.0015776
34,911.1,1.14646,0.98686,1.25003,0.74237,0.77346,0.78884,0.53641,1.09255,1.02692,1.23352,0.0015644,0.0015644,0.0015644
35,939.109,1.15457,0.98774,1.25681,0.81383,0.70862,0.81366,0.52272,1.21711,0.98029,1.31854,0.0015512,0.0015512,0.0015512
36,964.253,1.16713,0.98899,1.267,0.76487,0.75053,0.8213,0.54466,1.15348,1.04602,1.26316,0.001538,0.001538,0.001538
37,991.55,1.13084,0.97791,1.25484,0.79738,0.75895,0.83434,0.56696,1.10418,0.98823,1.25373,0.0015248,0.0015248,0.0015248
38,1016.52,1.12142,0.98266,1.24962,0.85324,0.74105,0.84318,0.5929,1.05412,0.94483,1.22692,0.0015116,0.0015116,0.0015116
39,1044.72,1.13268,0.98469,1.25216,0.9067,0.76632,0.87027,0.60174,1.106,0.89197,1.2631,0.0014984,0.0014984,0.0014984
40,1069.77,1.12545,0.93539,1.24865,0.84955,0.76676,0.85232,0.57951,1.09371,0.90652,1.24201,0.0014852,0.0014852,0.0014852
41,1097.27,1.13859,0.93359,1.25303,0.78194,0.75789,0.81789,0.55671,1.09423,1.01676,1.23575,0.001472,0.001472,0.001472
42,1122.36,1.11662,0.94729,1.24218,0.81311,0.75109,0.83292,0.5466,1.14957,1.02794,1.26238,0.0014588,0.0014588,0.0014588
43,1149.45,1.11452,0.9515,1.23316,0.90809,0.76961,0.87121,0.58146,1.11074,0.89479,1.25639,0.0014456,0.0014456,0.0014456
44,1174.92,1.10705,0.93384,1.23919,0.86026,0.7776,0.86176,0.58349,1.12607,0.87416,1.26198,0.0014324,0.0014324,0.0014324
45,1201.59,1.11886,0.93675,1.24207,0.8738,0.75158,0.85225,0.55996,1.16436,1.0119,1.27411,0.0014192,0.0014192,0.0014192
46,1227.97,1.08016,0.91164,1.22693,0.87652,0.78947,0.87333,0.58681,1.13628,0.8699,1.25778,0.001406,0.001406,0.001406
47,1254.33,1.0861,0.9053,1.21677,0.79972,0.81122,0.86462,0.59966,1.04671,0.90862,1.22228,0.0013928,0.0013928,0.0013928
48,1281.16,1.093,0.91785,1.23658,0.86785,0.77895,0.84938,0.57332,1.10356,0.93096,1.26898,0.0013796,0.0013796,0.0013796
49,1307.22,1.0889,0.88889,1.21667,0.87014,0.77474,0.86187,0.57503,1.11098,0.90406,1.26597,0.0013664,0.0013664,0.0013664
50,1334.45,1.07137,0.89741,1.21467,0.88047,0.77579,0.87496,0.59829,1.0477,0.86708,1.24693,0.0013532,0.0013532,0.0013532
51,1359.63,1.07435,0.90755,1.21833,0.89073,0.78737,0.86731,0.59982,1.08636,0.87699,1.18487,0.00134,0.00134,0.00134
52,1387.91,1.07688,0.91021,1.2104,0.88811,0.73522,0.85967,0.61231,1.04272,0.89066,1.19415,0.0013268,0.0013268,0.0013268
53,1412.9,1.09775,0.89534,1.23289,0.8599,0.76239,0.87348,0.5934,1.05955,0.85866,1.20832,0.0013136,0.0013136,0.0013136
54,1440.23,1.07319,0.88965,1.21584,0.83932,0.7368,0.83812,0.55668,1.14263,0.95244,1.27135,0.0013004,0.0013004,0.0013004
55,1465.26,1.08694,0.90569,1.22864,0.87543,0.74632,0.86699,0.60361,1.07789,0.85864,1.22194,0.0012872,0.0012872,0.0012872
56,1493.23,1.05965,0.89227,1.20355,0.81663,0.78421,0.85528,0.60588,1.06261,0.88992,1.23936,0.001274,0.001274,0.001274
57,1518.17,1.03756,0.81591,1.17464,0.76565,0.75314,0.80898,0.56419,1.06977,1.0138,1.22428,0.0012608,0.0012608,0.0012608
58,1546.23,1.04684,0.83813,1.19787,0.80704,0.80421,0.85718,0.60476,1.05514,0.90668,1.21032,0.0012476,0.0012476,0.0012476
59,1571.11,1.0516,0.84083,1.20171,0.87963,0.79263,0.86929,0.61391,1.02996,0.90698,1.19433,0.0012344,0.0012344,0.0012344
60,1598.24,1.038,0.82496,1.18874,0.78225,0.80947,0.83807,0.56766,1.09685,0.97388,1.24968,0.0012212,0.0012212,0.0012212
61,1623.45,1.06146,0.85476,1.20182,0.87637,0.81333,0.88197,0.61801,1.03115,0.8207,1.19922,0.001208,0.001208,0.001208
62,1649.81,1.01517,0.84957,1.19167,0.79048,0.7744,0.84586,0.54984,1.14895,0.98467,1.32942,0.0011948,0.0011948,0.0011948
